ReqID,Source,Target,Category,Description
REQ-001,PLM,PIM,Inbound Product Master,"Creare automaticamente in PIM una scheda prodotto (shell), quando in PLM lo stile/SKU passa in stato 'Ready for PIM', portando attributi tecnici minimi (SKU, style, stagione, materiali base, BOM, varianti taglia/colore)."
REQ-002,PLM,PIM,Inbound Product Master,"Sincronizzare aggiornamenti incrementali da PLM a PIM per attributi tecnici 'locked' (es. composizione, care instructions, dimensioni), mantenendo un meccanismo di conflitto 'PLM wins' per questi campi."
REQ-003,PLM,PIM,Inbound Product Master,"Gestire relazioni di prodotto (parent/child, varianti, pack, set) provenienti da PLM e crearle in PIM mantenendo consistenza dell'alberatura."
REQ-004,PLM,PIM,Inbound Product Master,"Importare codifiche e tassonomie PLM (categorie interne, linee, collezioni) e mapparle alle tassonomie PIM (master taxonomy + viste canale)."
REQ-005,PLM,PIM,Inbound Product Master,"Supportare il caricamento iniziale massivo (initial load) di prodotti storici da PLM verso PIM con tracciamento batch, reconciliation e report di scarti."
REQ-006,PLM,PIM,Data Quality Gate,"Bloccare la creazione/aggiornamento in PIM se PLM non fornisce SKU, stagione, brand, famiglia prodotto, e identificativi varianti obbligatori."
REQ-007,PLM,PIM,Data Quality Gate,"Applicare controlli di qualità su attributi tecnici: materiali con percentuali che sommano a 100, codici colore validi, taglie in range, e formati unità di misura."
REQ-008,PLM,PIM,Error Handling,"In caso di errore di integrazione PLM→PIM, generare un evento/record di errore con correlazione (CorrelationId), payload salvato e istruzioni di reprocess."
REQ-009,PLM,PIM,Audit & Traceability,"Registrare audit trail in PIM per ogni campo popolato da PLM (origine, timestamp, run id) per supportare troubleshooting e compliance."
REQ-010,PLM,PIM,Lifecycle,"Gestire il ritiro prodotto: quando PLM marca uno SKU come 'Discontinued', PIM deve passare lo SKU in stato 'Archived' e impedire nuove pubblicazioni."
REQ-011,PLM,PIM,Localization Seed,"Popolare in PIM almeno la lingua sorgente (IT/EN) con naming tecnico/placeholder, in modo che l'arricchimento possa partire."
REQ-012,PLM,PIM,Reference Data,"Sincronizzare reference data da PLM (care symbols, material dictionary, size charts id) verso PIM per abilitare validazioni."
REQ-013,PLM,PIM,Attachments,"Gestire eventuali documenti tecnici PLM (schede materiali, certificazioni) come referenze collegate allo SKU in PIM (link, non necessariamente file)."
REQ-014,PLM,PIM,Scheduling,Schedulare l'inbound PLM→PIM con due modalità: near-real-time per cambi stato e batch giornaliero per aggiornamenti di massa.
