ReqID,Source,Target,Category,Description
REQ-001,PLM,PIM,Inbound Product Master,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM pubblica/aggiorna un prodotto con stato 'Ready for PIM'.
Allora: Allora PIM crea/aggiorna 1 record corrispondente in modo idempotente, popolando i campi obbligatori e salvando CorrelationId + timestamp sorgente.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Create PIM shell product when PLM item is Ready for PIM, with mandatory technical attributes"
REQ-002,PLM,PIM,Inbound Product Master,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM pubblica/aggiorna un prodotto con stato 'Ready for PIM'.
Allora: Allora PIM crea/aggiorna 1 record corrispondente in modo idempotente, popolando i campi obbligatori e salvando CorrelationId + timestamp sorgente.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Sync incremental updates for PLM-owned locked technical attributes with PLM-wins conflict rule"
REQ-003,PLM,PIM,Inbound Product Master,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM pubblica/aggiorna un prodotto con stato 'Ready for PIM'.
Allora: Allora PIM crea/aggiorna 1 record corrispondente in modo idempotente, popolando i campi obbligatori e salvando CorrelationId + timestamp sorgente.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Replicate product relationships (parent/child, variants, sets) from PLM to PIM"
REQ-004,PLM,PIM,Inbound Product Master,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM pubblica/aggiorna un prodotto con stato 'Ready for PIM'.
Allora: Allora PIM crea/aggiorna 1 record corrispondente in modo idempotente, popolando i campi obbligatori e salvando CorrelationId + timestamp sorgente.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Map PLM taxonomies (collections/lines/categories) into PIM master taxonomy and channel views"
REQ-005,PLM,PIM,Inbound Product Master,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM pubblica/aggiorna un prodotto con stato 'Ready for PIM'.
Allora: Allora PIM crea/aggiorna 1 record corrispondente in modo idempotente, popolando i campi obbligatori e salvando CorrelationId + timestamp sorgente.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Support initial bulk load of historical products from PLM to PIM with reconciliation report"
REQ-006,PLM,PIM,Data Quality Gate,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM invia un payload con campi obbligatori mancanti o formati non validi.
Allora: Allora il payload è rifiutato con un error code deterministico, il payload fallito è salvato per reprocess e viene generata una notifica/report.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Reject PLM payloads missing mandatory identifiers (SKU, season, brand, variant keys)"
REQ-007,PLM,PIM,Data Quality Gate,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PLM invia un payload con campi obbligatori mancanti o formati non validi.
Allora: Allora il payload è rifiutato con un error code deterministico, il payload fallito è salvato per reprocess e viene generata una notifica/report.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Validate technical attributes (composition totals, color codes, size ranges, UoM formats) before persisting"
REQ-008,PLM,PIM,Error Handling,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando si verifica un errore di trasporto/validazione durante l'elaborazione PLM→PIM.
Allora: Allora l'errore è tracciato (CorrelationId, severity, categoria), si applica retry dove previsto e la re‑esecuzione è possibile da coda/console.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Capture integration errors with correlation id, store payload, and provide reprocess instructions"
REQ-009,PLM,PIM,Audit & Traceability,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando PIM persiste dati provenienti da PLM.
Allora: Allora viene scritto un audit entry con provenienza (source, timestamp, runId) e l'audit è consultabile via query/log export.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Maintain field-level provenance for PLM-sourced values in PIM"
REQ-010,PLM,PIM,Lifecycle,"Dato che l'integrazione PLM→PIM è configurata e operativa in ambiente PoC.
E dato un dataset Fashion con: 5 collezioni, 200 style, varianti taglia/colore, 6 mercati, 4 valute (EUR/USD/GBP/JPY).
Quando: Quando si verifica la condizione di trigger del requisito.
Allora: Allora il comportamento atteso è osservabile e verificabile.
Criteri di accettazione: (1) Esito deterministico; (2) Idempotenza dimostrata con replay; (3) Audit/metriche disponibili; (4) Percorsi errore testabili (reject/retry/reprocess).
Intento originale: Archive products in PIM when PLM flags them as discontinued and prevent publication"
